Fraction	PE	PECY5
pico-PP	3	149
pico-PP	6	426
pico-PP	4	238
pico-PP	7	147
pico-PP	3	100
pico-PP	3	169
pico-PP	8	122
pico-PP	8	260
pico-PP	7	108
pico-PP	6	381
pico-PP	3	202
pico-PP	6	294
pico-PP	6	229
pico-PP	4	113
pico-PP	7	277
pico-PP	7	405
pico-PP	7	162
pico-PP	5	332
pico-PP	7	339
pico-PP	5	280
pico-PP	10	336
pico-PP	9	237
pico-PP	5	84
pico-PP	7	339
pico-PP	3	197
pico-PP	3	130
pico-PP	6	215
pico-PP	3	76
pico-HP	373	234
pico-HP	377	195
pico-HP	248	99
pico-HP	204	136
pico-HP	258	158
pico-HP	267	183
pico-HP	685	302
pico-HP	628	414
pico-HP	543	244
pico-HP	136	66
pico-HP	237	112
pico-HP	139	67
pico-HP	433	300
pico-HP	141	53
pico-HP	122	57
pico-HP	98	42
pico-HP	353	242
pico-HP	314	171
pico-HP	146	63
pico-HP	139	78
pico-HP	267	179
pico-HP	127	60
pico-HP	154	95
pico-HP	211	135
pico-HP	624	401
pico-HP	194	72
pico-HP	391	152
pico-HP	389	243
pico-HP	512	237
pico-HP	573	382
pico-HP	256	126
pico-HP	134	51
pico-HP	564	425
pico-HP	438	179
pico-HP	164	63
pico-HP	147	67
pico-HP	432	170
pico-HP	287	151
pico-HP	188	69
pico-HP	716	362
pico-HP	378	230
pico-HP	742	416
pico-HP	423	181
pico-HP	153	63
pico-HP	390	161
pico-HP	501	221
pico-HP	197	121
pico-HP	400	168
pico-HP	448	180
pico-HP	162	77
pico-HP	321	180
pico-HP	563	229
pico-HP	130	79
pico-HP	478	190
pico-HP	469	216
pico-HP	333	137
pico-HP	475	291
pico-HP	720	331
pico-HP	420	149
pico-HP	365	225
pico-HP	207	127
pico-HP	589	268
pico-HP	273	129
pico-HP	365	170
pico-HP	535	246
pico-HP	683	302
pico-HP	192	116
pico-HP	153	73
pico-HP	377	158
pico-HP	256	138
pico-HP	298	137
pico-HP	572	308
pico-HP	147	81
pico-HP	299	194
pico-HP	729	328
pico-HP	148	78
nano-HP	1340	861
nano-HP	1287	730
nano-HP	965	898
nano-HP	1267	708
nano-HP	1430	856
nano-HP	1590	749
nano-HP	741	609
nano-HP	1898	2051
nano-HP	3167	2192
nano-HP	2888	1751
nano-HP	1041	500
nano-HP	1414	883
nano-HP	2126	2313
nano-HP	1296	726
nano-HP	1514	1342
nano-HP	1231	723
nano-HP	2136	1180
nano-HP	805	651
nano-HP	1033	824
nano-HP	2167	1886
nano-HP	2550	2111
nano-HP	1880	1496
nano-HP	1014	562
nano-HP	1300	948
nano-HP	1977	1381
nano-HP	1082	1035
nano-HP	2092	1470
nano-HP	1765	1193
nano-HP	728	620
nano-HP	1146	805
nano-HP	3066	2080
nano-HP	4711	6062
nano-HP	1040	579
nano-HP	2074	1494
nano-HP	2875	3060
nano-HP	2135	1943
nano-HP	1194	1195
nano-HP	1036	731
nano-HP	1096	801
nano-HP	864	535
nano-HP	7086	6038
nano-HP	1032	923
nano-HP	1377	695
nano-HP	1271	626
nano-HP	941	553
nano-HP	1046	998
nano-HP	1065	689
nano-HP	760	579
nano-HP	3427	2252
nano-HP	3065	2081
nano-HP	1547	1304
nano-HP	1790	1348
