Supergroup	Group	Fraction	ncells	perc
Alveolata	MALV-I	pico-PP	0	0
Alveolata	MALV-I	pico-HP	19	25
Alveolata	MALV-I	nano-HP	1	1.9230769230769231
Archaeplastida	Mamiellophyceae	pico-PP	11	39.285714285714285
Archaeplastida	Mamiellophyceae	pico-HP	0	0
Archaeplastida	Mamiellophyceae	nano-HP	0	0
Haptista	Prymnesiophyceae	pico-PP	6	21.428571428571427
Haptista	Prymnesiophyceae	pico-HP	1	1.3157894736842106
Haptista	Prymnesiophyceae	nano-HP	1	1.9230769230769231
Alveolata	MALV-II	pico-PP	0	0
Alveolata	MALV-II	pico-HP	12	15.789473684210526
Alveolata	MALV-II	nano-HP	1	1.9230769230769231
Stramenopiles	MAST-3	pico-PP	0	0
Stramenopiles	MAST-3	pico-HP	15	19.736842105263158
Stramenopiles	MAST-3	nano-HP	2	3.8461538461538463
Stramenopiles	Chrysophyceae	pico-PP	6	21.428571428571427
Stramenopiles	Chrysophyceae	pico-HP	0	0
Stramenopiles	Chrysophyceae	nano-HP	1	1.9230769230769231
Stramenopiles	Dictyochophyceae	pico-PP	2	7.142857142857143
Stramenopiles	Dictyochophyceae	pico-HP	0	0
Stramenopiles	Dictyochophyceae	nano-HP	1	1.9230769230769231
Rhizaria	Chlorarachnea	pico-PP	0	0
Rhizaria	Chlorarachnea	pico-HP	6	7.894736842105263
Rhizaria	Chlorarachnea	nano-HP	0	0
Cryptista	Cryptomonadales	pico-PP	0	0
Cryptista	Cryptomonadales	pico-HP	0	0
Cryptista	Cryptomonadales	nano-HP	1	1.9230769230769231
Stramenopiles	MAST-4	pico-PP	0	0
Stramenopiles	MAST-4	pico-HP	5	6.578947368421052
Stramenopiles	MAST-4	nano-HP	0	0
Stramenopiles	MAST-1	pico-PP	0	0
Stramenopiles	MAST-1	pico-HP	0	0
Stramenopiles	MAST-1	nano-HP	14	26.923076923076923
Archaeplastida	Picozoa	pico-PP	0	0
Archaeplastida	Picozoa	pico-HP	0	0
Archaeplastida	Picozoa	nano-HP	15	28.846153846153847
Opisthokonta	Choanoflagellata	pico-PP	0	0
Opisthokonta	Choanoflagellata	pico-HP	5	6.578947368421052
Opisthokonta	Choanoflagellata	nano-HP	3	5.769230769230769
Stramenopiles	Pelagophyceae	pico-PP	1	3.5714285714285716
Stramenopiles	Pelagophyceae	pico-HP	0	0
Stramenopiles	Pelagophyceae	nano-HP	0	0
Stramenopiles	MAST-8	pico-PP	0	0
Stramenopiles	MAST-8	pico-HP	3	3.9473684210526314
Stramenopiles	MAST-8	nano-HP	3	5.769230769230769
Stramenopiles	MAST-7	pico-PP	0	0
Stramenopiles	MAST-7	pico-HP	4	5.2631578947368425
Stramenopiles	MAST-7	nano-HP	0	0
Stramenopiles	Labyrinthulomycetes	pico-PP	0	0
Stramenopiles	Labyrinthulomycetes	pico-HP	1	1.3157894736842106
Stramenopiles	Labyrinthulomycetes	nano-HP	1	1.9230769230769231
Telonemia	Telonemia	pico-PP	0	0
Telonemia	Telonemia	pico-HP	1	1.3157894736842106
Telonemia	Telonemia	nano-HP	1	1.9230769230769231
Stramenopiles	Bolidophyceae	pico-PP	1	3.5714285714285716
Stramenopiles	Bolidophyceae	pico-HP	0	0
Stramenopiles	Bolidophyceae	nano-HP	0	0
Rhizaria	Cercozoa	pico-PP	0	0
Rhizaria	Cercozoa	pico-HP	0	0
Rhizaria	Cercozoa	nano-HP	2	3.8461538461538463
Stramenopiles	MAST-12	pico-PP	0	0
Stramenopiles	MAST-12	pico-HP	1	1.3157894736842106
Stramenopiles	MAST-12	nano-HP	2	3.8461538461538463
Stramenopiles	MAST-2	pico-PP	0	0
Stramenopiles	MAST-2	pico-HP	0	0
Stramenopiles	MAST-2	nano-HP	1	1.9230769230769231
Stramenopiles	Stramenopiles	pico-PP	0	0
Stramenopiles	Stramenopiles	pico-HP	0	0
Stramenopiles	Stramenopiles	nano-HP	1	1.9230769230769231
Unknown	Unknown	pico-PP	0	0
Unknown	Unknown	pico-HP	0	0
Unknown	Unknown	nano-HP	1	1.9230769230769231
Bacteria	Bacteria	pico-PP	1	3.5714285714285716
Bacteria	Bacteria	pico-HP	3	3.9473684210526314
Bacteria	Bacteria	nano-HP	0	0
