Group	Supergroup	rho_type	ngenes	rho_type_short
Basidiomycota	Opisthokonta	Channel rhodopsins	0	CR
Basidiomycota	Opisthokonta	Proton pumps	0	PPR
Bolidophyceae	Stramenopiles	Channel rhodopsins	0	CR
Bolidophyceae	Stramenopiles	Proton pumps	0	PPR
Centroplasthelida	Haptista	Channel rhodopsins	0	CR
Centroplasthelida	Haptista	Proton pumps	0	PPR
Cercozoa	Rhizaria	Channel rhodopsins	3	CR
Cercozoa	Rhizaria	Proton pumps	1	PPR
Chlorarachnea	Rhizaria	Channel rhodopsins	0	CR
Chlorarachnea	Rhizaria	Proton pumps	4	PPR
Chlorodendrophyceae	Archaeplastida	Channel rhodopsins	6	CR
Chlorodendrophyceae	Archaeplastida	Proton pumps	0	PPR
Chlorophyta	Archaeplastida	Channel rhodopsins	0	CR
Chlorophyta	Archaeplastida	Proton pumps	0	PPR
Choanoflagellata	Opisthokonta	Channel rhodopsins	0	CR
Choanoflagellata	Opisthokonta	Proton pumps	0	PPR
Chrysophyceae	Stramenopiles	Channel rhodopsins	3	CR
Chrysophyceae	Stramenopiles	Proton pumps	0	PPR
Ciliophora	Alveolata	Channel rhodopsins	0	CR
Ciliophora	Alveolata	Proton pumps	0	PPR
Diatomeae	NA	Channel rhodopsins	0	CR
Diatomeae	NA	Proton pumps	0	PPR
Dictyochophyceae	Stramenopiles	Channel rhodopsins	2	CR
Dictyochophyceae	Stramenopiles	Proton pumps	1	PPR
Dinoflagellata	Alveolata	Channel rhodopsins	3	CR
Dinoflagellata	Alveolata	Proton pumps	0	PPR
Kinetoplastea	Discoba	Channel rhodopsins	0	CR
Kinetoplastea	Discoba	Proton pumps	0	PPR
Labyrinthulomycetes	Stramenopiles	Channel rhodopsins	2	CR
Labyrinthulomycetes	Stramenopiles	Proton pumps	1	PPR
MALV-I	Alveolata	Channel rhodopsins	0	CR
MALV-I	Alveolata	Proton pumps	0	PPR
MALV-II	Alveolata	Channel rhodopsins	17	CR
MALV-II	Alveolata	Proton pumps	0	PPR
MAST-1	Stramenopiles	Channel rhodopsins	2	CR
MAST-1	Stramenopiles	Proton pumps	4	PPR
MAST-12	Stramenopiles	Channel rhodopsins	0	CR
MAST-12	Stramenopiles	Proton pumps	0	PPR
MAST-2	Stramenopiles	Channel rhodopsins	0	CR
MAST-2	Stramenopiles	Proton pumps	0	PPR
MAST-3	Stramenopiles	Channel rhodopsins	0	CR
MAST-3	Stramenopiles	Proton pumps	6	PPR
MAST-4	Stramenopiles	Channel rhodopsins	3	CR
MAST-4	Stramenopiles	Proton pumps	1	PPR
MAST-7	Stramenopiles	Channel rhodopsins	1	CR
MAST-7	Stramenopiles	Proton pumps	2	PPR
MAST-8	Stramenopiles	Channel rhodopsins	0	CR
MAST-8	Stramenopiles	Proton pumps	2	PPR
MAST-9	Stramenopiles	Channel rhodopsins	1	CR
MAST-9	Stramenopiles	Proton pumps	1	PPR
MOCH-2	Stramenopiles	Channel rhodopsins	1	CR
MOCH-2	Stramenopiles	Proton pumps	0	PPR
Mamiellophyceae	Archaeplastida	Channel rhodopsins	14	CR
Mamiellophyceae	Archaeplastida	Proton pumps	0	PPR
Picozoa	Archaeplastida	Channel rhodopsins	0	CR
Picozoa	Archaeplastida	Proton pumps	0	PPR
Pinguiophyceae	Stramenopiles	Channel rhodopsins	0	CR
Pinguiophyceae	Stramenopiles	Proton pumps	0	PPR
Prymnesiophyceae	Haptista	Channel rhodopsins	55	CR
Prymnesiophyceae	Haptista	Proton pumps	21	PPR
Telonemia	Telonemia	Channel rhodopsins	0	CR
Telonemia	Telonemia	Proton pumps	1	PPR
Tunicaraptor	Opisthokonta	Channel rhodopsins	0	CR
Tunicaraptor	Opisthokonta	Proton pumps	0	PPR
Unknown	Unknown	Channel rhodopsins	0	CR
Unknown	Unknown	Proton pumps	0	PPR
