Supergroup	Group	nsags	complete	partial	Type II	Type III	nsags_rhodo	ACP-AT-KS	ACP-KS	AT-KS	KS	Type II_ngenes	Type III_ngenes	Proteorhodopsins	Xanthorhodopsins	Channelrhodopsins	Bestrhodopsins	8TM rhodopsins	SAR rhodopsins	New clade	Viral rhodopsins	Halorhodopsins
Alveolata	Ciliophora	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alveolata	Dinoflagellata	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0
Alveolata	MALV-I	4	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Alveolata	MALV-II	5	0	2	0	0	4	0	0	1	3	0	0	16	0	0	3	0	0	0	0	0
Archaeplastida	Chlorodendrophyceae	2	0	2	0	0	1	0	7	0	6	0	0	0	0	3	0	1	0	0	0	0
Archaeplastida	Chlorophyta	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaeplastida	Mamiellophyceae	11	1	9	1	2	6	1	28	1	34	2	2	0	0	2	0	12	0	0	0	0
Archaeplastida	Picozoa	4	2	2	2	0	0	5	1	0	2	7	0	0	0	0	0	0	0	0	0	0
Discoba	Kinetoplastea	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Haptista	Centroplasthelida	2	2	0	2	0	0	14	1	2	4	4	0	0	0	0	0	0	0	0	0	0
Haptista	Prymnesiophyceae	45	27	18	42	24	31	50	1131	8	497	292	42	0	17	22	2	35	0	5	0	0
Opisthokonta	Basidiomycota	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Opisthokonta	Choanoflagellata	5	1	3	1	0	0	1	3	2	4	3	0	0	0	0	0	0	0	0	0	0
Opisthokonta	Tunicaraptor	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Rhizaria	Cercozoa	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rhizaria	Chlorarachnea	3	1	2	3	0	2	2	0	0	5	5	0	0	0	1	0	0	4	0	0	0
Rhizaria	Endomyxa	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1
Stramenopiles	Bolidophyceae	1	0	1	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
Stramenopiles	Chrysophyceae	13	5	7	4	6	4	6	5	3	33	4	10	0	0	0	0	2	0	0	4	0
Stramenopiles	Diatomea	6	0	6	1	4	0	0	0	0	14	1	5	0	0	0	0	0	0	0	0	0
Stramenopiles	Dictyochophyceae	4	2	1	3	2	2	4	8	1	5	5	5	0	0	0	1	1	0	1	0	0
Stramenopiles	Labyrinthulomycetes	3	0	3	2	0	2	0	3	0	4	3	0	0	1	2	0	0	0	0	0	0
Stramenopiles	MAST-1	4	1	1	2	0	3	1	1	0	0	3	0	0	0	0	1	1	4	0	0	0
Stramenopiles	MAST-12	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Stramenopiles	MAST-2	1	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Stramenopiles	MAST-3	8	5	2	4	0	3	6	1	3	12	8	0	0	2	0	0	0	2	2	0	0
Stramenopiles	MAST-4	2	1	1	2	1	2	2	0	1	5	3	1	0	1	3	0	0	0	0	0	0
Stramenopiles	MAST-7	6	2	2	4	0	3	6	3	5	5	11	0	0	1	1	0	0	1	0	0	0
Stramenopiles	MAST-8	3	0	2	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0	2	0	0
Stramenopiles	MAST-9	1	0	1	1	0	1	0	0	1	2	1	0	0	1	1	0	0	0	0	0	0
Stramenopiles	MOCH-2	1	0	1	1	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0
Stramenopiles	Pinguiophyceae	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Telonemia	Telonemia	1	1	0	1	0	1	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0
Unknown	Unknown	1	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
