BL180116	229119318
BL180213	202656846
BL180306	304670390
BL180410	215326064
BL180508	220338108
BL180613	221188588
BL180704	197969064
BL180801	205991698
BL180913	233883468
BL181009	252597442
BL181105	218009040
BL181211	247288618
BL190115	252650682
BL190212	289346958
BL190312	295151950
BL190514	209193276
BL190611	278717826
BL190709	219941814
BL190805	239952936
BL190917	230710902
BL191203	270930744
BL200130	200872000
BL200211	218202474
BL200310	228077292
BL200512	199383278
BL200609	234732186
BL200707	200623564
BL200804	214945906
BL200915	236059764
BL201013	218428786
BL201110	187594824
BL201215	254136794
